emmca_l05_z01_00 4.8466000000E+05      6.4720700000E+06      1           -6.3654697012E+00    
emmca_l05_z01_01 4.8466000000E+05      6.4800700000E+06      1           -6.3654697012E+00    
emmca_l05_z01_02 4.8466000000E+05      6.4880700000E+06      1           -6.3654697012E+00    
emmca_l05_z01_03 4.8466000000E+05      6.4960700000E+06      1           -6.3654697012E+00    
emmca_l05_z01_04 4.9266000000E+05      6.4720700000E+06      1           -6.3654697012E+00    
emmca_l05_z01_05 4.9266000000E+05      6.4800700000E+06      1           -6.3654697012E+00    
emmca_l05_z01_06 4.9266000000E+05      6.4880700000E+06      1           -6.3654697012E+00    
emmca_l05_z01_07 4.9266000000E+05      6.4960700000E+06      1           -6.3654697012E+00    
emmca_l05_z01_08 4.9266000000E+05      6.5040700000E+06      1           -6.3654697012E+00    
emmca_l05_z01_09 5.0066000000E+05      6.4720700000E+06      1           -6.3654697012E+00    
emmca_l05_z01_10 5.0066000000E+05      6.4800700000E+06      1           -6.3654697012E+00    
emmca_l05_z01_11 5.0066000000E+05      6.4880700000E+06      1           -6.3654697012E+00    
emmca_l05_z01_12 5.0066000000E+05      6.4960700000E+06      1           -6.3654697012E+00    
emmca_l05_z01_13 5.0066000000E+05      6.5040700000E+06      1           -6.3654697012E+00    
emmca_l05_z01_14 5.0866000000E+05      6.4800700000E+06      1           -6.3654697012E+00    
emmca_l05_z01_15 5.0866000000E+05      6.4880700000E+06      1           -6.3654697012E+00    
emmca_l05_z01_16 5.0866000000E+05      6.4960700000E+06      1           -6.3654697012E+00    
emmca_l05_z01_17 5.1666000000E+05      6.4880700000E+06      1           -6.3654697012E+00    
