cd_point,Modele,Usage,insee_commune,nom_commune,cd_hydrogeo,nom_hydrogeo,cd_ce,lib_ce,type_point,Ressource,BSS,lib_point,lieudit,X_L93Original,Y_L93Original,X_L93New,Y_L93New,profondeur,Milieur recepteur,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Somme
A16147007,ModelePOC,Agricole,"16147",Gardes-le-Pontaroux,,,P7230500,Le Voultron,CONT,Eau de surface,,MALSAISIE / FONTENELLES,MALSAISIE / FONTENELLES,489990.72,6493624,489032,6493881,"0",,10984,17395,29348,30501,23802,30628,9424,13626,31145,28566,24771,27499,15671,25458,22809,44961,32961,419 549
A16147009,ModelePOC,Agricole,"16147",Gardes-le-Pontaroux,,,P7230500,Le Voultron,CONT,Eau de surface,,BURGAUD,BURGAUD,489990.72,6493624,488602,6492660,"0",,4034,16544,30660,15920,8143,11578,16473,11250,11250,11250,11250,1568,1763,13310,7485,1085,0,173 563
A16147011,ModelePOC,Agricole,"16147",Gardes-le-Pontaroux,,,P7230500,Le Voultron,CONT,Eau de surface,,LES GRANDS PRES,LES GRANDS PRES,489990.72,6493624,489032,6493881,"0",,15727,8301,11801,17906,19320,7993,22334,19614,19712,18479,18892,4045,19412,8680,15914,22907,22347,273 384
A16162006,ModelePOC,Agricole,"16162",Gurat,,,P7240500,Le Roncenac,CONT,Eau de surface,,LES VIGNES DE LAMBOURY,LES VIGNES DE LAMBOURY,486278.5,6485536,486881,6486146,"0",,53760,45810,35200,31160,31130,28990,25730,25730,25200,25840,24310,26020,25330,27080,39070,27400,18060,515 820
A16162008,ModelePOC,Agricole,"16162",Gurat,,,P7240500,Le Roncenac,CONT,Eau de surface,,LA RIVIERE,LA RIVIERE,486278.5,6485536,486881,6486146,"0",,2380,1730,2280,3730,2690,9670,12250,8460,0,0,0,0,3814,7336,3662,2599,0,60 601
A16162009,,Agricole,"16162",Gurat,,,P72-0400,La Lizonne,CONT,Eau de surface,,Point de Prelevement Agricole de FONTAINE GARREAUD,LIZONNE,485571.2095,6485828.589,487061,6484517,"0",,4317,720,5127,0,0,0,0,,,,,,,,,,,10 164
A16162012,ModelePOC,Agricole,"16162",Gurat,,,P72-0400,La Lizonne,CONT,Eau de surface,,PRES DE LA LIZONNE,PRES DE LA LIZONNE,486278.5,6485536,487791,6484894,"0",,54380,50520,56850,59620,27200,23930,51930,47310,44260,48870,9650,13286,35752,46113,31293,29,11693,612 686
A16162019,ModelePOC,Agricole,"16162",Gurat,,,P72-0400,La Lizonne,CONT,Eau de surface,,LANGELY,LANGELY,486278.5,6485536,487791,6484894,"0",,22205,35120,30510,24200,25360,27570,24220,24750,24220,24300,20490,18500,17520,0,6610,15280,28930,369 785
A16254002,ModelePOC,Agricole,"16254",Palluaud,,,P72-0400,La Lizonne,CONT,Eau de surface,,LA PALLURIE,LA PALLURIE,484070.06,6475838,485702,6474528,"0",,46340,31340,23520,48040,42780,42090,53600,47590,41600,50160,51000,7150,53460,57720,27980,49920,45340,719 630
A16254007,ModelePOC,Agricole,"16254",Palluaud,,,,,CONT,Eau de surface,,CHEBAUDIE,CHEBAUDIE,484070.06,6475838,484752,6477299,"0",,9830,2780,5385,1550,1000,3705,3979,4355,4488,0,552,20,0,0,7,0,0,37 651
A16254016,ModelePOC,Agricole,"16254",Palluaud,,,,,CONT,Eau de surface,,LA PALURIE,LA PALURIE,484070.06,6475838,485702,6474528,"0",,0,0,0,0,27190,26260,39060,24720,47810,33430,35680,3060,36450,41180,24310,44350,30880,414 380
A16285017,ModelePOC,Agricole,"16285",Rougnac,,,P7220530,La Manore,CONT,Eau de surface,,LA MARTINIE,LA MARTINIE,493564.12,6496477.5,494542,6494594,"0",,17979,5485,4720,7030,9390,4550,4875,5630,3270,6395,6385,25,2930,,,,,78 664
A16285021,,Agricole,"16285",Rougnac,,,,,CONT,Retenue,,LA MARTINIE,LA MARTINIE,494274,6494532,494542,6494594,"0",,17979,5485,4720,7030,0,4550,4875,5630,3270,6395,6385,25,2930,,,,,69 274
A16350004,ModelePOC,Agricole,"16350",Saint-Severin,,,P72-0400,La Lizonne,CONT,Eau de surface,,MORTEVE,MORTEVE,484173.4,6471739.5,486034,6472641,"0",,44620,31480,31340,39730,34580,39300,48820,41120,16660,39020,39050,6730,44010,52300,30920,51410,38930,630 020
A16350008,,Agricole,"16350",Saint-Severin,,,P72-0400,La Lizonne,CONT,Eau de surface,,Point de Prelevement Agricole de CHAVENAC,PALLURIE LIZONNE,483968.3024,6471773.597,486034,6472641,"0",,48160,36490,24350,34360,0,0,0,,,,,,,,,,,143 360
A16350014,ModelePOC,Agricole,"16350",Saint-Severin,,,P72-0400,La Lizonne,CONT,Eau de surface,,MORTEVE,MORTEVE,484173.4,6471739.5,486034,6472641,"0",,22270,17070,16500,15380,9550,12170,11730,8590,10290,10260,12950,1350,16640,8690,4700,8710,11880,198 730
A16350017,,Agricole,"16350",Saint-Severin,,,P72-0400,La Lizonne,CONT,Eau de surface,,Point de Prelevement Agricole de ZD-11,LIZONNE,483968.3024,6471773.597,486034,6472641,"0",,36110,24090,26440,14480,5820,0,0,,,,,,,,,,,106 940
A16362006,ModelePOC,Agricole,"16362",Salles-Lavalette,,,,,CONT,Eau de surface,,LOCHES,LOCHES,483443.9,6480302,484908,6478696,"0",,41150,38230,36610,41200,24950,27440,42820,43480,42670,43020,53590,14420,43100,49050,33080,37910,57630,670 350
A16362008,,Agricole,"16362",Salles-Lavalette,,,P72-0400,La Lizonne,CONT,Eau de surface,,Point de Prelevement Agricole de RIVIERE DE SALLES,LIZONNE,483576.1347,6480172.147,484908,6478696,"0",,4690,2165,2765,545,645,0,0,,,,,,,,,,,10 810
A24007003,,Agricole,"24007",Allemans,,,P72-0400,La Lizonne,CONT,Eau de surface,,MOULIN DE PONTET,MOULIN DE PONTET,488769.66,6468993,485066,6469512,"0",,6166,2345,4756,3052,2413,3422,3415,,,,,,,,,,,25 569
A24007008,,Agricole,"24007",Allemans,,,P72-0400,La Lizonne,CONT,Eau de surface,,G.A.E.C. DE LA GABARRE,,488769.66,6468993,485707,6470125,"0",,17090,7420,33870,22870,9470,10180,18610,21580,23250,27510,24830,0,17640,24660,0,18550,16590,294 120
A24007010,,Agricole,"24007",Allemans,,,P72-0400,La Lizonne,CONT,Eau de surface,,LE PONTET,LE PONTET,488769.66,6468993,485066,6469512,"0",,12306,1598,7990,3178,1296,2881,5236,5851,8221,5671,5740,0,5052,7413,0,4996,5125,82 554
A24038009,,Agricole,"24038",Bertric-Buree,,,,,CONT,Retenue,,LA BARDE,LA BARDE,492721.8,6471180,491216,6473332,"0",,16680,13825,17327,10554,7839,9565,11491,7748,3121,10405,13798,1096,12642,16324,14818,19625,18487,205 345
A24038018,,Agricole,"24038",Bertric-Buree,,,,,CONT,Retenue,,LUSSAC,LUSSAC,492721.8,6471180,491216,6473332,"0",,1200,16600,2578,0,0,0,0,,,,,,,,,,,20 378
A24062001,,Agricole,"24062",Bouteilles-Saint-Sebastien,,,P7250500,La Pude,CONT,Eau de surface,,ROUCHOULE,ROUCHOULE,487716.6,6475778,485893,6476606,"0",,38450,33170,29720,37040,24370,31730,35010,25300,25700,20630,20930,0,0,,,,,322 050
A24062006,,Agricole,"24062",Bouteilles-Saint-Sebastien,,,,,CONT,Retenue,,STE-MARIE,STE-MARIE,487716.6,6475778,486542,6477595,"0",,13150,21050,26610,18360,1020,10090,12620,22090,15770,25870,19020,2520,28100,23170,22540,33410,2730,298 120
A24062007,,Agricole,"24062",Bouteilles-Saint-Sebastien,,,P72-2012,Canal de la Pude,CONT,Retenue,,MAISON NEUVE,MAISON NEUVE,485906,6474812,485906,6474812,"0",,57568,53717,57722,33581,45418,109300,41621,110801,135616,122549,110762,50822,110267,107934,74220,92266,104532,1 418 696
A24062009,,Agricole,"24062",Bouteilles-Saint-Sebastien,,,P7250500,La Pude,CONT,Eau de surface,,SAINT MARIE,SAINT MARIE,487716.6,6475778,486542,6477595,"0",,3620,1930,7238,7830,5173,9200,11409,7822,6435,7520,9681,2197,6968,,,,,87 023
A24062011,,Agricole,"24062",Bouteilles-Saint-Sebastien,,,P72-0400,La Lizonne,CONT,Eau de surface,,RIVIERE DE LIGON,RIVIERE DE LIGON,485685,6474815,485623,6474819,"0",,0,0,15722,34399,7242,0,0,31372,0,48452,24638,3082,51910,28040,34490,14090,42600,336 037
A24097010,,Agricole,"24097",Champagne-et-Fontaine,,,P72-0400,La Lizonne,CONT,Eau de surface,,LES PECHERIES,LES PECHERIES,491727.62,6484607,490593,6485397,"0",,49790,48523,66092,50563,30560,41045,57289,44419,69723,60301,45495,0,76651,,,,,640 451
A24097014,,Agricole,"24097",Champagne-et-Fontaine,,,P72-0400,La Lizonne,CONT,Eau de surface,,AU CORNERAC,AU CORNERAC,491727.62,6484607,490593,6485397,"0",,39800,57068,20201,21851,14845,18391,30530,15911,15604,340,3323,100,279,3333,0,0,0,241 576
A24097016,,Agricole,"24097",Champagne-et-Fontaine,,,P7250500,La Pude,CONT,Eau de surface,,LES MAILLERIES,LES MAILLERIES,491727.62,6484607,491636,6486874,"0",,26301,5820,1404,4079,0,1915,0,14144,13813,13703,11512,0,8091,12003,0,0,0,112 785
A24097020,,Agricole,"24097",Champagne-et-Fontaine,,,P72-0400,La Lizonne,CONT,Eau de surface,,Point de Prelevement Agricole de POMPAIGNE,POMPAIGNE,491899.3773,6484489.423,491636,6487732,"0",,5981,1454,3242,694,0,0,0,,,,,,,,,,,11 371
A24097021,,Agricole,"24097",Champagne-et-Fontaine,,,,,CONT,Eau de surface,,ESPINNASSE,ESPINNASSE,491727.62,6484607,490418,6485357,"0",,16120,39234,32608,20618,14004,18256,29104,26449,24968,28010,24064,2224,23219,27508,18951,16924,24405,386 666
A24097025,,Agricole,"24097",Champagne-et-Fontaine,,,P72-0400,La Lizonne,CONT,Eau de surface,,ST-MOFEZIE,ST-MOFEZIE,491727.62,6484607,491636,6486874,"0",,21204,31517,40157,10115,14926,23010,30020,21078,36772,30658,0,9819,10763,0,1771,0,0,281 810
A24097029,,Agricole,"24097",Champagne-et-Fontaine,,,P72-0400,La Lizonne,CONT,Eau de surface,,Fonbouille,Fonbouille,491725.2,6484606.5,490593,6485397,"0",,,,,,,,,,,,,,,0,0,34346,37105,71 451
A24109006,,Agricole,"24109",La Chapelle-Gresignac,,,P7250500,La Pude,CONT,Eau de surface,,GRESIGNAC,GRESIGNAC,491860.7,6480268.5,492471,6480596,"0",,40140,40510,31540,29220,27640,41900,45040,41350,38630,29350,45870,23110,31360,14780,54742,75717,56894,667 793
A24119004,,Agricole,"24119",Cherval,,,,,CONT,Eau de surface,,ECUYERS,ECUYERS,495443.66,6479908.5,494818,6481572,"0",,22094,22313,18197,41877,11450,27342,38560,35930,24240,24290,33590,16370,28190,32044,12162,23192,0,411 841
A24119008,,Agricole,"24119",Cherval,,,,,CONT,Retenue,,LES CABANES,LES CABANES,495443.66,6479908.5,494351,6478525,"0",,42311,43135,68944,55666,32097,30284,30000,48676,62543,58625,53579,38420,46415,54256,41278,42587,36047,784 863
A24119012,,Agricole,"24119",Cherval,,,P7250500,La Pude,CONT,Eau de surface,,MOULIN DE GRENOUILLET,MOULIN DE GRENOUILLET,495443.66,6479908.5,495815,6481722,"0",,0,2850,2275,2205,0,487,1647,,,,,,,,,,,9 464
A24199010,,Agricole,"24119",Cherval,,,,,CONT,Retenue,,LE SOULET,LE SOULET,494719,6482260,494719,6482260,"0",,29035,12285,10822,12005,9856,8394,8289,13071,9479,13458,24825,3023,22277,23284,11828,14017,24036,249 984
A24199006,,Agricole,"24199",Gout-Rossignol,,,,,CONT,Eau de surface,,FONTAINE,FONTAINE,497122.94,6483038.5,496302,6481483,"0",,28950,23415,25100,20990,3500,0,10990,15950,14420,3740,3310,7210,13920,16500,18400,18000,0,224 395
A24199012,,Agricole,"24199",Gout-Rossignol,,,P7250500,La Pude,CONT,Retenue,,ETANG DES FAURES,ETANG DES FAURES,497872,6481697,497151,6481496,"0",,625805,634334,672053,717945,362100,522764,647926,753045,724430,585658,674276,290532,582034,589789,401156,496531,512506,9 792 884
A24203003,,Agricole,"24253",Mareuil en Perigord,,,,,CONT,Retenue,,Les Graulges,Les Graulges,500552.16,6492325,500874,6491484,"0",,0,0,0,0,0,22550,43160,40230,28350,22400,35628,0,26357,26135,3395,0,9020,257 225
A24203006,,Agricole,"24253",Mareuil en Perigord,,,P72-0400,La Lizonne,CONT,Eau de surface,,LES CROZES - Les Graulges,LES CROZES - Les Graulges,500552.16,6492325,500874,6491484,"0",,36524,48360,39880,33460,22600,22550,43160,40230,28350,22400,35628,0,26357,26135,3395,0,9020,438 049
A24247002,,Agricole,"24247",Lusignac,,,P7270500,La Sauvanie,CONT,Eau de surface,,LA BASSE BARDE,LA BASSE BARDE,489733.62,6473103,491107,6473288,"0",,16200,21767,4434,0,0,0,0,,,,,,,,,,,42 401
A24247004,,Agricole,"24247",Lusignac,,,,,CONT,Retenue,,LA BASSE BARDE,LA BASSE BARDE,489733.62,6473103,491107,6473288,"0",,19090,21767,4434,0,0,0,0,,,,,,,,,,,45 291
A24247006,,Agricole,"24247",Lusignac,,,,,CONT,Retenue,,LA FORIE SUD,LA FORIE SUD,489733.62,6473103,490781,6472800,"0",,15000,5167,1857,0,0,0,0,,,,,,,,,,,22 024
A24253003,,Agricole,"24253",Mareuil en Perigord,,,P7210500,La Belle,CONT,Eau de surface,,LESPINASSE,LESPINASSE,500553.3,6485575.5,500421,6487554,"0",,4070,3185,2140,0,0,925,0,,,,,,,,,,,10 320
A24253013,,Agricole,"24253",Mareuil en Perigord,,,,,CONT,Retenue,,ST-PRIEST,ST-PRIEST,500553.3,6485575.5,500421,6487554,"0",,5193,62380,21690,25245,0,0,590,30,660,0,0,0,1360,415,0,0,5,117 568
