cd_point,Modele,Usage,insee_commune,nom_commune,cd_hydrogeo,nom_hydrogeo,cd_ce,lib_ce,type_point,Ressource,BSS,lib_point,lieudit,X_L93Original,Y_L93Original,X_L93New,Y_L93New,profondeur,Milieur recepteur,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Somme
A24353011,,Agricole,"24353",La Rochebeaucourt-et-Argentine,,,P72-0400,La Lizonne,CONT,Eau de surface,,LE CHATENET,LE CHATENET,495541.3,6488561,498227,6490925,"0",,17940,17740,16060,6950,2520,11970,13180,12070,12030,19500,17700,29,21941,21010,5460,17680,21690,235 470
A24394009,,Agricole,"24394",Sainte-Croix-de-Mareuil,,,,,CONT,Retenue,,Foret D'ambelle,Foret D'ambelle,498651.84,6488418,499164,6489773,"0",,,,,,,,,,,,,,,27160,0,0,0,27 160
A24452002,,Agricole,"24452",Saint-Martial-Viveyrol,,,,,CONT,Retenue,,GRENEYREN,GRENEYREN,491494.3,6477030,492260,6475623,"0",,21500,12070,10970,10280,10360,11745,11445,15120,13563,17576,16231,11294,11683,15602,12953,16818,17076,236 286
A24452005,,Agricole,"24452",Saint-Martial-Viveyrol,,,,,CONT,Eau de surface,,LA RIVIERE,LA RIVIERE,491494.3,6477030,493566,6477500,"0",,24320,21830,20310,23670,23870,26530,20800,28830,19190,25750,33490,9730,4630,5040,8940,13830,5310,316 070
A24452006,,Agricole,"24452",Saint-Martial-Viveyrol,,,P7270500,La Sauvanie,CONT,Eau de surface,,GRENEYREN,GRENEYREN,491494.3,6477030,492254,6475655,"0",,21500,12070,10970,10280,10360,11745,11445,15120,18353,34216,34741,26044,21113,29812,26563,32108,30696,357 136
A24452009,,Agricole,"24452",Saint-Martial-Viveyrol,,,,,CONT,Retenue,,LES SAVYS,LES SAVYS,491494.3,6477030,493956,6478037,"0",,14379,4455,2221,2260,5428,13832,15235,14941,1407,12130,13891,11202,9244,7741,5525,8142,5681,147 714
A24452013,,Agricole,"24452",Saint-Martial-Viveyrol,,,,,CONT,Retenue,,GRENEREIN,GRENEREIN,491494.3,6477030,492260,6475623,"0",,9560,4295,5620,1745,2070,4950,5850,5855,6200,1070,12645,0,6480,8385,0,4665,2980,82 370
A24452015,,Agricole,"24452",Saint-Martial-Viveyrol,,,P7270500,La Sauvanie,CONT,Eau de surface,,MOULIN DU CHAPT,MOULIN DU CHAPT,491494.3,6477030,492790,6476501,"0",,9560,4295,5620,1745,2070,4950,5850,5855,6200,1070,12645,0,6480,8385,0,4665,2980,82 370
A24569006,,Agricole,"24569",Vendoire,,,P72-0400,La Lizonne,CONT,Eau de surface,,LE MOULIN MOUDOT,LE MOULIN MOUDOT,487972.6,6482856,486938,6484360,"0",,34584,27291,58450,48455,18321,24371,32178,8303,50717,40974,23216,7520,26916,11473,3797,5016,11151,432 733
A24569011,,Agricole,"24569",Vendoire,,,,,CONT,Eau de surface,,Point de Prelevement Agricole de,MOULIN MONDOT,488158.5049,6482778.811,486938,6484360,"0",,1695,0,0,0,0,0,0,,,,,,,,,,,1 695
A24569014,,Agricole,"24569",Vendoire,,,,,CONT,Eau de surface,,E.A.R.L. DU MOULIN MONDOT,,487972.6,6482856,486938,6484360,"0",,0,0,0,0,0,3860,9552,,,,,,,,,,,13 412
A24573003,,Agricole,"24573",Verteillac,,,P7270500,La Sauvanie,CONT,Eau de surface,,BIRANCON,BIRANCON,494507.9,6475669.5,492531,6475815,"0",,28196,18497,14184,20930,16441,21709,29030,34630,14046,0,0,0,0,,,,,197 663
A24573005,,Agricole,"24573",Verteillac,,,P7270500,La Sauvanie,CONT,Eau de surface,,L'EPINE BASSE,L'EPINE BASSE,494507.9,6475669.5,491576,6473956,"0",,47230,36030,54260,140000,31340,27390,49790,41740,42820,32800,55650,16150,39191,42996,49344,0,0,706 731
A24573009,,Agricole,"24573",Verteillac,,,,,CONT,Retenue,,BRIANCON,BRIANCON,494507.9,6475669.5,492531,6475815,"0",,12865,13038,17177,11686,12441,11477,16764,13956,5419,12142,9062,0,28,,,,,136 055
A24573022,,Agricole,"24573",Verteillac,,,,,CONT,Retenue,,POUCLARD,POUCLARD,494507.9,6475669.5,493540,6477281,"0",,0,0,0,0,0,38428,46677,48722,65126,60899,29331,16594,28782,36823,22645,30569,35475,460 071
A24573024,,Agricole,"24573",Verteillac,,,,,CONT,Retenue,,La Pierre Levee,La Pierre Levee,494507.9,6475669.5,493601,6477609,"0",,,,,,,,,0,0,0,0,23457,41898,43593,27049,39879,36186,212 062
A24573025,,Agricole,"24573",Verteillac,,,,,CONT,Retenue,,Lac,LAc,494504.22,6475671,493601,6477609,"0",,,,,,,,,,,,,,,0,0,65380,59280,124 660
A24579001,,Agricole,"24253",Mareuil en Perigord,,,,,CONT,Retenue,,LE MAINE,LE MAINE,504704.7,6484700,502311,6486486,"0",,6029,7201,7747,8870,3992,0,12232,,,,,,,,,,,46 071
A24579002,,Agricole,"24253",Mareuil en Perigord,,,,,CONT,Retenue,,LE MAINE,LE MAINE,504704.7,6484700,502311,6486486,"0",,6029,7201,7747,8870,3992,0,12232,,,,,,,,,,,46 071
I16350100,ModelePOC,Industriel,"16350",Saint-Severin,,,P72-5051,Bras de la Lizonne,CONT,Eau de surface,,AHLSTROM SPECIALTIES,,485649.47,6470421.5,485651,6470494,"0",,1370880,1267200,1282560,1286400,1294080,1278720,1276157,1188142,1309048,1266360,1318203,1319715,1232871,1298688,1303552,1153045,1127808,21 573 429
0516283V0011,ModelePOC,STEP,"16283",Ronsenac,,,,RONSENAC,STEP,STEP,,0516283V001,RONSENAC,485425,6489420,485425,6489420,,Rejet dans entite hydrographique,8212.5,8235,8212.5,8212.5,8212.5,8235,8723.5,11826,12045,12078,2883.5,38325,38325,0,0,0,0,
0516283V0021,ModelePOC,STEP,"16283",Ronsenac,,,,RONSENAC N�2,STEP,STEP,,0516283V002,RONSENAC N�2,485422,6489420,485422,6489420,,Infiltration,0,0,0,0,0,0,0,0,0,0,0,0,0,9607.5,9106.75,9595.85,8760,
0524283V0011,,STEP,"24253",Mareuil en Perigord,,,,MONSEC (BOURG),STEP,STEP,,0524283V0011,Mareuil en Perigord,506978,6483460,506978,6483460,,Rejet dans entite hydrographique,0,0,0,3145.8,5365.5,5380.2,5365.5,5365.5,10731,5380.2,5365.5,5365.5,5365.5,5380.2,5365.5,5365.5,5365.5,
0524579V0011,,STEP,"24253",Mareuil en Perigord,,,,VIEUX MAREUIL,STEP,STEP,,0524579V0011,Mareuil en Perigord,504350,6484210,504350,6484210,,Rejet dans entite hydrographique,5840,5856,7847.5,5803.5,10293,8661.96,26280,20440,22192,10387.09,85410,15804.5,5110,12846.25,3577,8395,4380,
0524353V0011,,STEP,"24353",La Rochebeaucourt-et-Argentine,,,,LA ROCHEBEAUCOURT,STEP,STEP,,0524353V0011,La Rochebeaucourt-et-Argentine,495260,6490040,495260,6490040,,Rejet dans entite hydrographique,3624.7,3635,3624.7,3624.7,13687.5,7561.06,5730.5,8833,13651,7083.81,7738,11534,7686.9,5428.51,5602.75,3350.7,3350.7,
