obsnme,obsval,weight,obgnme
loc000n248,76.51,1.0,07574X0014
loc000n250,76.51,1.0,07574X0014
loc000n252,76.58,1.0,07574X0014
loc000n254,76.53,1.0,07574X0014
loc000n256,76.39,1.0,07574X0014
loc000n258,76.49,1.0,07574X0014
loc000n260,76.56,1.0,07574X0014
loc000n262,76.51,1.0,07574X0014
loc000n264,76.47,1.0,07574X0014
loc000n266,76.42,1.0,07574X0014
loc000n268,76.42,1.0,07574X0014
loc000n270,76.39,1.0,07574X0014
loc000n272,70.76,1.0,07574X0014
loc000n276,70.66,1.0,07574X0014
loc000n277,75.32,1.0,07574X0014
loc000n279,76.03,1.0,07574X0014
loc000n281,76.36,1.0,07574X0014
loc000n283,76.33,1.0,07574X0014
loc000n285,76.42,1.0,07574X0014
loc000n287,76.48,1.0,07574X0014
loc000n289,76.51,1.0,07574X0014
loc000n291,76.49,1.0,07574X0014
loc000n293,76.57,1.0,07574X0014
loc000n295,76.48,1.0,07574X0014
loc000n297,76.48,1.0,07574X0014
loc000n299,76.49,1.0,07574X0014
loc000n301,76.46,1.0,07574X0014
loc000n303,76.4,1.0,07574X0014
loc000n306,76.31,1.0,07574X0014
loc000n307,70.67,1.0,07574X0014
loc000n309,76.12,1.0,07574X0014
loc000n311,73.34,1.0,07574X0014
loc000n313,65.31,1.0,07574X0014
loc000n315,65.32,1.0,07574X0014
loc000n317,65.24,1.0,07574X0014
loc000n319,76.22,1.0,07574X0014
loc000n321,71.12,1.0,07574X0014
loc000n323,69.99,1.0,07574X0014
loc000n325,65.57,1.0,07574X0014
loc000n327,65.18,1.0,07574X0014
loc000n329,65.08,1.0,07574X0014
loc000n331,64.98,1.0,07574X0014
loc000n333,69.71,1.0,07574X0014
loc001n0000,157.35,1.0,07346X0017
loc001n0001,157.25,1.0,07346X0017
loc001n0003,157.11,1.0,07346X0017
loc001n0005,157.18,1.0,07346X0017
loc001n0007,157.25,1.0,07346X0017
loc001n0009,157.18,1.0,07346X0017
loc001n0011,157.04,1.0,07346X0017
loc001n0013,157.0,1.0,07346X0017
loc001n0015,157.11,1.0,07346X0017
loc001n0017,157.13,1.0,07346X0017
loc001n0019,157.1,1.0,07346X0017
loc001n0021,156.98,1.0,07346X0017
loc001n0023,157.0,1.0,07346X0017
loc001n0025,157.0,1.0,07346X0017
loc001n0027,157.0,1.0,07346X0017
loc001n0031,156.68,1.0,07346X0017
loc001n0032,156.76,1.0,07346X0017
loc001n0034,156.97,1.0,07346X0017
loc001n0036,156.87,1.0,07346X0017
loc001n0038,156.62,1.0,07346X0017
loc001n0040,156.48,1.0,07346X0017
loc001n0042,156.41,1.0,07346X0017
loc001n0044,156.68,1.0,07346X0017
loc001n0046,156.62,1.0,07346X0017
loc001n0048,156.64,1.0,07346X0017
loc001n0050,156.77,1.0,07346X0017
loc001n0052,156.78,1.0,07346X0017
loc001n0054,156.62,1.0,07346X0017
loc001n0056,156.94,1.0,07346X0017
loc001n0058,157.09,1.0,07346X0017
loc001n0061,156.97,1.0,07346X0017
loc001n0062,156.84,1.0,07346X0017
loc001n0064,156.92,1.0,07346X0017
loc001n0066,156.9,1.0,07346X0017
